initial_phase,phase_shift
-17.148648648648653,0.7890995260663507
-16.102702702702707,0.781990521327014
-13.937837837837844,1.2582938388625617
-11.821621621621627,1.386255924170615
-11.43243243243243,0.22037914691943072
-9.705405405405408,0.14928909952606695
-9.364864864864872,0.20616113744075726
-7.443243243243257,-0.7890995260663525
-7.63783783783785,-1.6350710900473961
-3.721621621621619,-1.457345971563977
-3.794594594594603,-2.495260663507108
-2.432432432432435,-2.502369668246441
1.5324324324324152,-2.815165876777253
2.3594594594594405,-1.7203791469194307
2.870270270270261,-0.7748815165876799
5.108108108108098,-0.22037914691943072
6.859459459459444,0.7890995260663511
7.929729729729715,0.7819905213270144
10.094594594594582,1.25829383886256
12.18648648648648,1.3862559241706167
12.575675675675662,0.2203791469194316
14.643243243243234,0.1990521327014223
14.254054054054038,0.1421800947867311
16.589189189189177,-0.7890995260663507
16.37027027027024,-1.6350710900473944
